DATE,GOLD,FOREX_RESERVES,INFLATION_YOY,OIL,INTEREST_RATE,KSE100,USDPKR,M2,YEAR,MONTH,QUARTER,MONTH_SIN,MONTH_COS,USDPKR_diff,REAL_INTEREST,OIL_IN_PKR,KSE100_lag1,KSE100_lag3,KSE100_lag12,INFLATION_YOY_lag1,INFLATION_YOY_lag3,INFLATION_YOY_lag12,INTEREST_RATE_lag1,INTEREST_RATE_lag3,INTEREST_RATE_lag12,USDPKR_lag1,USDPKR_lag3,USDPKR_lag12,OIL_lag1,OIL_lag3,OIL_lag12,FOREX_RESERVES_lag1,FOREX_RESERVES_lag3,FOREX_RESERVES_lag12,GOLD_lag1,GOLD_lag3,GOLD_lag12,M2_lag1,M2_lag3,M2_lag12,KSE100_roll_mean3,KSE100_roll_std3,OIL_roll_mean3,OIL_roll_std3,GOLD_roll_mean3,GOLD_roll_std3
2006-06-01,613.5,17.16,60.6686796869823,73.9800033569336,14.6,9989.41015625,60.09999847412109,16700.79,2006,6,2,1.2246467991473532e-16,-1.0,-0.4199981689453125,-46.0686796869823,4446.1980888671815,9800.6904296875,11485.900390625,7450.1201171875,60.3155649964002,59.4350131730497,56.359786500638,14.89,17.86,8.66,59.70000076293945,60.02000045776367,59.70000076293945,71.29000091552734,66.62999725341797,56.5,17.47,20.62,10.88,642.5,581.7999877929688,435.8999938964844,16679.13,16085.9,15327.22,10876.253580729166,934.2332047303723,69.93333180745442,2.875941289664915,625.3666585286459,38.015306686656835
2006-07-01,634.2000122070312,14.36,61.6430974407406,74.4000015258789,11.95,10497.66015625,60.22999954223633,16860.48,2006,7,3,-0.4999999999999997,-0.8660254037844388,0.3999977111816335,-49.6930974407406,4481.112057846069,9989.41015625,11342.169921875,7178.93017578125,60.6686796869823,60.0429068175962,57.2716269674578,14.6,15.93,5.3,60.09999847412109,60.119998931884766,59.65999984741211,73.9800033569336,71.87999725341797,60.56999969482422,17.16,18.58,7.32,613.5,651.7999877929688,429.8999938964844,16700.79,16411.78,15366.24,10377.423502604166,840.8064723349693,72.38333384195964,1.4138737831632804,635.9333292643229,19.976564760953046
2006-08-01,625.9000244140625,12.16,62.4119041088436,70.26000213623047,9.87,10063.5400390625,60.22999954223633,16726.78,2006,8,3,-0.8660254037844384,-0.5000000000000004,0.13000106811524148,-52.5419041088436,4231.759896502685,10497.66015625,9800.6904296875,7796.85986328125,61.6430974407406,60.3155649964002,57.2939759985073,11.95,14.89,20.5,60.22999954223633,59.70000076293945,59.63999938964844,74.4000015258789,71.29000091552734,68.94000244140625,14.36,17.47,23.41,634.2000122070312,642.5,433.7999877929688,16860.48,16679.13,15571.94,10095.920247395834,360.48578276135873,73.22333526611328,1.6874347095061166,630.0666707356771,14.935306618518865
2006-09-01,598.5999755859375,18.8,62.6085755820792,62.90999984741211,16.15,10512.51953125,60.5,16688.67,2006,9,3,-1.0,-1.8369701987210297e-16,0.0,-46.4585755820792,3806.0549907684326,10063.5400390625,9989.41015625,8225.66015625,62.4119041088436,60.6686796869823,57.580043595941,9.87,14.6,6.62,60.22999954223633,60.09999847412109,59.70000076293945,70.26000213623047,73.9800033569336,66.23999786376953,12.16,17.16,8.71,625.9000244140625,613.5,469.0,16726.78,16700.79,15944.3,10183.536783854166,274.55223491249313,72.88000233968098,2.278683921705663,624.5333455403646,10.417460568714828
2006-10-01,604.0999755859375,13.22,62.8320658925742,58.72999954223633,10.87,11327.7099609375,60.5,17645.76,2006,10,4,-0.8660254037844386,0.5000000000000001,0.2700004577636719,-51.9620658925742,3553.164972305298,10512.51953125,10497.66015625,8247.3701171875,62.6085755820792,61.6430974407406,58.1208901473389,16.15,11.95,20.48,60.5,60.22999954223633,59.71500015258789,62.90999984741211,74.4000015258789,59.7599983215332,18.8,14.36,23.39,598.5999755859375,634.2000122070312,465.1000061035156,16688.67,16860.48,14891.16,10357.906575520834,255.0371416013787,69.1900011698405,5.819253491114565,619.5666707356771,18.62590074244729
2006-11-01,646.9000244140625,8.72,63.2879861259841,63.130001068115234,6.62,10619.4697265625,60.84999847412109,16956.99,2006,11,4,-0.5000000000000004,0.8660254037844384,0.0,-56.6679861259841,3841.4604686660746,11327.7099609375,10063.5400390625,9026.58984375,62.8320658925742,62.4119041088436,58.5634009621191,10.87,9.87,7.74,60.5,60.22999954223633,59.720001220703125,58.72999954223633,70.26000213623047,57.31999969482422,13.22,12.16,9.9,604.0999755859375,625.9000244140625,494.6000061035156,17645.76,16726.78,16084.27,10634.58984375,640.8644698676501,63.96666717529297,5.837178199758516,609.5333251953125,14.438287034403524
2006-12-01,635.2000122070312,24.93,63.5874631420475,61.04999923706055,21.93,10040.5,60.75,17798.16,2006,12,4,-2.4492935982947064e-16,1.0,0.34999847412108664,-41.6574631420475,3708.787453651428,10619.4697265625,10512.51953125,9556.6103515625,63.2879861259841,62.6085755820792,58.4024879385627,6.62,16.15,20.33,60.84999847412109,60.5,59.7400016784668,63.130001068115234,62.90999984741211,61.040000915527344,8.72,18.8,23.23,646.9000244140625,598.5999755859375,517.0999755859375,16956.99,16688.67,16069.27,10819.899739583334,443.0158030512783,61.59000015258789,2.4792746424481105,616.5333251953125,26.441724907455974
2007-01-01,652.0,20.15,63.0287373658099,58.13999938964844,17.42,11272.330078125,60.400001525878906,17168.35,2007,1,1,0.49999999999999994,0.8660254037844387,-0.09999847412108664,-45.6087373658099,3511.6560518493643,10040.5,11327.7099609375,10523.3701171875,63.5874631420475,62.8320658925742,59.1042475135171,21.93,10.87,21.04,60.75,60.5,59.845001220703125,61.04999923706055,58.72999954223633,67.91999816894531,24.93,13.22,23.99,635.2000122070312,604.0999755859375,570.7999877929688,17798.16,17645.76,15494.51,10662.559895833334,644.6859257809338,60.96999994913737,2.2010913819024744,628.7333374023438,22.120679401743402
2007-02-01,669.4000244140625,23.08,63.6813290724554,61.790000915527344,20.19,11180.01953125,60.84999847412109,17740.17,2007,2,1,0.8660254037844386,0.5000000000000001,-0.34999847412109375,-43.4913290724554,3759.9214614257794,11272.330078125,10619.4697265625,11456.1201171875,63.0287373658099,63.2879861259841,59.2964491805428,17.42,6.62,16.67,60.400001525878906,60.84999847412109,59.91999816894531,58.13999938964844,63.130001068115234,61.40999984741211,20.15,8.72,19.36,652.0,646.9000244140625,561.5999755859375,17168.35,16956.99,15811.58,10644.099934895834,616.2842856306384,60.77333323160807,2.506479053713623,644.7000122070312,8.613358099159388
2007-03-01,663.0,19.14,63.9942155071484,65.87000274658203,16.47,11271.58984375,60.880001068115234,18003.54,2007,3,1,1.0,6.123233995736766e-17,0.4499969482421804,-47.5242155071484,4010.1658375686675,11180.01953125,10040.5,11485.900390625,63.6813290724554,63.5874631420475,59.4350131730497,20.19,21.93,17.86,60.84999847412109,60.75,60.02000045776367,61.790000915527344,61.04999923706055,66.62999725341797,23.08,24.93,20.62,669.4000244140625,635.2000122070312,581.7999877929688,17740.17,17798.16,16085.9,10830.949869791666,686.1038964736575,60.326666514078774,1.9295168970060246,652.2000122070312,17.100883380766057
2007-04-01,680.5,21.8,64.195356786594,65.70999908447266,18.98,12369.7001953125,60.68000030517578,18511.97,2007,4,2,0.8660254037844387,-0.4999999999999998,0.03000259399414773,-45.215356786594,3987.282764498901,11271.58984375,11272.330078125,11342.169921875,63.9942155071484,63.0287373658099,60.0429068175962,16.47,17.42,15.93,60.880001068115234,60.400001525878906,60.119998931884766,65.87000274658203,58.13999938964844,71.87999725341797,19.14,20.15,18.58,663.0,652.0,651.7999877929688,18003.54,17168.35,16411.78,11241.313151041666,53.08312214918083,61.93333435058594,3.8669944827676486,661.4666748046875,8.800768547036078
2007-05-01,661.0,8.92,64.7853712063008,64.01000213623047,6.82,12961.1396484375,60.709999084472656,18259.41,2007,5,2,0.49999999999999994,-0.8660254037844387,-0.20000076293945312,-57.965371206300794,3886.0471710876445,12369.7001953125,11180.01953125,9800.6904296875,64.195356786594,63.6813290724554,60.3155649964002,18.98,20.19,14.89,60.68000030517578,60.84999847412109,59.70000076293945,65.70999908447266,61.790000915527344,71.29000091552734,21.8,23.08,17.47,680.5,669.4000244140625,642.5,18511.97,17740.17,16679.13,11607.103190104166,662.0135382281654,64.45666758219402,2.3107863653538887,670.9666748046875,8.854563517469934
2007-06-01,648.0999755859375,22.35,64.914995586388,70.68000030517578,19.5,13772.4599609375,60.47999954223633,18402.2,2007,6,2,1.2246467991473532e-16,-1.0,0.029998779296875,-45.414995586388,4274.726386102295,12961.1396484375,11271.58984375,9989.41015625,64.7853712063008,63.9942155071484,60.6686796869823,6.82,16.47,14.6,60.709999084472656,60.880001068115234,60.09999847412109,64.01000213623047,65.87000274658203,73.9800033569336,8.92,19.14,17.16,661.0,663.0,613.5,18259.41,18003.54,16700.79,12200.809895833334,857.3433300455033,65.19666798909505,1.0307920147819392,668.1666666666666,10.72769002783952
2007-07-01,666.9000244140625,21.45,65.5720570992433,78.20999908447266,18.65,13739.5302734375,59.900001525878906,18766.19,2007,7,3,-0.4999999999999997,-0.8660254037844388,-0.22999954223632812,-46.9220570992433,4684.7790644989,13772.4599609375,12369.7001953125,10497.66015625,64.914995586388,64.195356786594,61.6430974407406,19.5,18.98,11.95,60.47999954223633,60.68000030517578,60.22999954223633,70.68000030517578,65.70999908447266,74.4000015258789,22.35,21.8,14.36,648.0999755859375,680.5,634.2000122070312,18402.2,18511.97,16860.48,13034.433268229166,704.2461970367315,66.8000005086263,3.4660202281472885,663.1999918619791,16.311663577103786
